tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
631871332263837696,fde230643125950bccce743024f20fedababd6aa5e00791bfa35543b9ed37169,fde230643125950bccce743024f20fedababd6aa5e00791bfa35543b9ed37169,fde230643125950bccce743024f20fedababd6aa5e00791bfa35543b9ed37169,,"I live by the creed God, family, country. I'm a #BlueLives family. #lnyhbt #tcot #Israel #ccot #PJNET #policeLivesMatter",,2018,1952,2015-03-10,en,en,#TrumpBecause Im damn sure I vote for @realDonaldTrump and I damn hope he wins the primary #MakeAmericaGreatAgain 👮🏿👈🏿,2015-08-13 16:53,Twitter Web Client,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,"[TrumpBecause, MakeAmericaGreatAgain]",[],[25073877],
800108169548668928,2494112058,San Jose Daily,DailySanJose,USA,"Follow for San Jose's breaking news, special reports, entertainment and more from @DailySanJose",,20135,9313,2014-05-14,en,en,"Hundreds Oppose 'Racist, Sexist, Anti-Gay' Trump in SF https://t.co/EinLUiSeoh https://t.co/ljFBXMONod",2016-11-19 22:47,Twibble.io,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],[http://www.nbcbayarea.com/news/local/Hundreds-Brave-Damp-San-Francisco-Weather-to-Oppose-Racist-Sexist-Anti-Gay-Trump-402068535.html],,
721730697048621059,2587843805,KansasCityDailyNews,KansasDailyNews,"Kansas City, MO","Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",,29357,6720,2014-06-06,en,en,Clinton: 'I don't respond' to Trump insults https://t.co/5MPhG3qajr #politics,2016-04-17 16:03,twitterfeed,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[politics],[http://bit.ly/1Vuh5k3],,
620779741432262656,2928870434,Newspeak Daily,NewspeakDaily,,it's never too late to reinvent the bicycle,,5816,865,2014-12-13,en,en,"At La Raza's Democratic Forum, Donald Trump Is the Piñata  #politics",2015-07-14 02:19,twitterfeed,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[politics],[],,
857079065165082626,c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5,c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5,c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5,"Chicago, IL",Enjoy your life and don't interfere in mine,,2652,2310,2013-08-18,en,en,RT @Eternally_Erin: Donald Trump: Russia Investigation Not Stopping Anytime Soon | https://t.co/09O26AFiY3 https://t.co/jkb6YVIskq,2017-04-26 03:49,Twitter Web Client,,,,True,825813518779772929,857070506024906752,absent,absent,0.0,0.0,0.0,0.0,[],"[http://Time.com, http://time.com/4754803/donald-trump-russia-investigation-momentum/]",[825813518779772929],
803444286914056192,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @LouDobbs: And Dr. Stein seemed like such a nice communist #MAGA @realDonaldTrump #AmericaFirst https://t.co/W7gywp0XAm,2016-11-29 03:43,Twitter Web Client,,,803339021267193856,True,26487169,803342335002243072,absent,absent,0.0,0.0,0.0,0.0,"[MAGA, AmericaFirst]",[https://twitter.com/BillFrezza/status/803339021267193858],"[26487169, 25073877]",
765930167470555136,ca1079af614db298e607bb72de4e1ba989fa8a85fd018138c824d3048011b367,ca1079af614db298e607bb72de4e1ba989fa8a85fd018138c824d3048011b367,ca1079af614db298e607bb72de4e1ba989fa8a85fd018138c824d3048011b367,ATL,if you don't like me-it's ok,,2834,2792,2013-06-20,en,en,RT @freedom2offend: #TrumpsFavoriteHeadline Ivanka says she would date Donald if he wasn't her father.,2016-08-17 15:15,Twitter Web Client,,,,True,3065793067,765923554521075712,absent,absent,0.0,0.0,0.0,0.0,[TrumpsFavoriteHeadline],[],[3065793067],
887678755124260865,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,Florida,Aquarius. Queen Bey Stan. Happily Taken. carefree black gyal ✨,,1018,1255,2013-08-07,en,en,RT @LawyersComm: The Trump-Kobach sham Election Integrity Commission features a veritable who's who of vote suppressors. https://t.co/cFVTA…,2017-07-19 14:21,Twitter Web Client,,,,True,257959346,887670621563478016,absent,absent,0.0,0.0,0.0,0.0,[],[],[257959346],
740767738109517824,2630842499,San Diego Daily,DailySanDiego,"San Diego, CA","Follow for San Diego's breaking news, special reports, entertainment and more from @DailySanDiego",,22715,8255,2014-06-22,en,en,3 teenage boys arrested in attacks against Trump supporters  #politics,2016-06-09 04:49,twitterfeed,,,,False,,,absent,absent,0.0,0.0,0.0,2.0,[politics],[],,
758956582008868866,27b93ba228eb4137131221eea1f595b141182ee2c99db530c25351276ff8b962,27b93ba228eb4137131221eea1f595b141182ee2c99db530c25351276ff8b962,27b93ba228eb4137131221eea1f595b141182ee2c99db530c25351276ff8b962,,Constitutional conservative-Pro life-Pro 2nd amendment-Christian,,2491,2974,2015-03-10,en,en,RT @movement_trump: Donald Trump would NEVER sell out like Bernie just did. Retweet if you agree! https://t.co/0plQeE7ggm,2016-07-29 09:25,Twitter Web Client,,,,True,726857588168638467,758109172600832000,absent,absent,0.0,0.0,0.0,0.0,[],[],[726857588168638467],
